ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,135,ValidSlopeSaturation,1794419383
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,192,ValidSlopeSaturation,1794420640
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,287,ValidSlopeSaturation,1794421900
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,233,ValidSlopeSaturation,1794423165
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,225,ValidSlopeSaturation,1794424417
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,210,ValidSlopeSaturation,1794425674
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,1532,ValidSlopeSaturation,1794426927
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,3142,ValidSlopeSaturation,1794428242
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,3678,ValidSlopeSaturation,1794429506
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,4199,ValidSlopeSaturation,1794430769
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,3519,ValidSlopeSaturation,1794432029
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,3066,ValidSlopeSaturation,1794433290
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,157,ValidSlopeSaturation,1794435511
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,243,ValidSlopeSaturation,1794436773
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,245,ValidSlopeSaturation,1794438030
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,205,ValidSlopeSaturation,1794439299
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,188,ValidSlopeSaturation,1794440568
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,220,ValidSlopeSaturation,1794441814
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,2831,ValidSlopeSaturation,1794443073
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:8,,,4488,ValidSlopeSaturation,1794444329
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:9,,,4536,ValidSlopeSaturation,1794445594
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:10,,,4689,ValidSlopeSaturation,1794446846
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:11,,,4893,ValidSlopeSaturation,1794448106
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:12,,,3556,ValidSlopeSaturation,1794449373
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:1,,,167,ValidSlopeSaturation,1794451592
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:2,,,202,ValidSlopeSaturation,1794452863
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:3,,,237,ValidSlopeSaturation,1794454119
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:4,,,223,ValidSlopeSaturation,1794455364
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:5,,,226,ValidSlopeSaturation,1794456626
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:6,,,205,ValidSlopeSaturation,1794457891
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:7,,,3103,ValidSlopeSaturation,1794459207
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:8,,,4658,ValidSlopeSaturation,1794460471
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:9,,,4454,ValidSlopeSaturation,1794461732
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:10,,,5109,ValidSlopeSaturation,1794462991
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:11,,,4716,ValidSlopeSaturation,1794464244
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:12,,,3592,ValidSlopeSaturation,1794465514
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:1,,,107,ValidSlopeSaturation,1794467729
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:2,,,197,ValidSlopeSaturation,1794468997
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:3,,,262,ValidSlopeSaturation,1794470256
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:4,,,223,ValidSlopeSaturation,1794471518
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:5,,,216,ValidSlopeSaturation,1794472780
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:6,,,232,ValidSlopeSaturation,1794474041
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:7,,,2442,ValidSlopeSaturation,1794475307
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:8,,,4596,ValidSlopeSaturation,1794476572
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:9,,,4777,ValidSlopeSaturation,1794477828
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:10,,,5004,ValidSlopeSaturation,1794479098
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:11,,,4638,ValidSlopeSaturation,1794480357
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:12,,,3664,ValidSlopeSaturation,1794481620
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:1,,,158,ValidSlopeSaturation,1794483832
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:2,,,166,ValidSlopeSaturation,1794485093
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:3,,,248,ValidSlopeSaturation,1794486346
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:4,,,217,ValidSlopeSaturation,1794487596
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:5,,,172,ValidSlopeSaturation,1794488858
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:6,,,171,ValidSlopeSaturation,1794490159
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:7,,,2020,ValidSlopeSaturation,1794491418
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:8,,,4236,ValidSlopeSaturation,1794492672
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:9,,,4746,ValidSlopeSaturation,1794493937
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:10,,,5509,ValidSlopeSaturation,1794495200
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:11,,,4794,ValidSlopeSaturation,1794496461
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:12,,,3587,ValidSlopeSaturation,1794497725
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:1,,,128,ValidSlopeSaturation,1794499943
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:2,,,170,ValidSlopeSaturation,1794501200
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:3,,,228,ValidSlopeSaturation,1794502453
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:4,,,207,ValidSlopeSaturation,1794503702
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:5,,,207,ValidSlopeSaturation,1794504971
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:6,,,203,ValidSlopeSaturation,1794506213
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:7,,,2383,ValidSlopeSaturation,1794507479
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:8,,,4932,ValidSlopeSaturation,1794508738
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:9,,,4627,ValidSlopeSaturation,1794509998
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:10,,,5263,ValidSlopeSaturation,1794511259
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:11,,,4664,ValidSlopeSaturation,1794512518
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:12,,,4106,ValidSlopeSaturation,1794513782
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:1,,,135,ValidSlopeSaturation,1794516004
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:2,,,226,ValidSlopeSaturation,1794517273
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:3,,,227,ValidSlopeSaturation,1794518533
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:4,,,171,ValidSlopeSaturation,1794519800
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:5,,,188,ValidSlopeSaturation,1794521117
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:6,,,448,ValidSlopeSaturation,1794522369
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:7,,,4038,ValidSlopeSaturation,1794523627
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:8,,,4513,ValidSlopeSaturation,1794524900
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:9,,,4887,ValidSlopeSaturation,1794526159
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:10,,,5217,ValidSlopeSaturation,1794527411
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:11,,,5032,ValidSlopeSaturation,1794528663
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:12,,,4151,ValidSlopeSaturation,1794529929
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:1,,,97,ValidSlopeSaturation,1794532146
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:2,,,153,ValidSlopeSaturation,1794533406
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:3,,,237,ValidSlopeSaturation,1794534666
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:4,,,213,ValidSlopeSaturation,1794535937
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:5,,,203,ValidSlopeSaturation,1794537190
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:6,,,167,ValidSlopeSaturation,1794538455
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:7,,,1637,ValidSlopeSaturation,1794539719
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:8,,,3693,ValidSlopeSaturation,1794540987
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:9,,,3453,ValidSlopeSaturation,1794542245
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:10,,,3724,ValidSlopeSaturation,1794543495
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:11,,,3582,ValidSlopeSaturation,1794544751
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,H:12,,,2557,ValidSlopeSaturation,1794546014
