ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,142,ValidSlopeSaturation,1796294030
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,165,ValidSlopeSaturation,1796295285
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,201,ValidSlopeSaturation,1796296543
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,656,ValidSlopeSaturation,1796297804
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,8632,ValidSlopeSaturation,1796299062
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,15910,ValidSlopeSaturation,1796300323
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,19540,ValidSlopeSaturation,1796301579
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,21980,ValidSlopeSaturation,1796302881
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,23090,ValidSlopeSaturation,1796304139
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,22880,ValidSlopeSaturation,1796305382
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,23830,ValidSlopeSaturation,1796306611
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,21860,ValidSlopeSaturation,1796307877
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,140,ValidSlopeSaturation,1796310095
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,146,ValidSlopeSaturation,1796311348
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,642,ValidSlopeSaturation,1796312599
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,10290,ValidSlopeSaturation,1796313855
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,20050,ValidSlopeSaturation,1796315096
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,22880,ValidSlopeSaturation,1796316359
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,23320,ValidSlopeSaturation,1796317614
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:8,,,24540,ValidSlopeSaturation,1796318871
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:9,,,22900,ValidSlopeSaturation,1796320137
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:10,,,26270,ValidSlopeSaturation,1796321401
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:11,,,26770,ValidSlopeSaturation,1796322654
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:12,,,23030,ValidSlopeSaturation,1796323903
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:1,,,153,ValidSlopeSaturation,1796326112
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:2,,,166,ValidSlopeSaturation,1796327378
