ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,65,ValidSlopeSaturation,3312083641
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,77,ValidSlopeSaturation,3312084908
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,275,ValidSlopeSaturation,3312086166
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,641,ValidSlopeSaturation,3312087422
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,1503,ValidSlopeSaturation,3312088677
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,2712,ValidSlopeSaturation,3312089928
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,3681,ValidSlopeSaturation,3312091177
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,3882,ValidSlopeSaturation,3312092497
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,4214,ValidSlopeSaturation,3312093753
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,4109,ValidSlopeSaturation,3312095003
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,4867,ValidSlopeSaturation,3312096269
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,3628,ValidSlopeSaturation,3312097528
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,63,ValidSlopeSaturation,3312099735
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,101,ValidSlopeSaturation,3312100988
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,270,ValidSlopeSaturation,3312102252
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,1087,ValidSlopeSaturation,3312103517
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,2615,ValidSlopeSaturation,3312104761
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,4104,ValidSlopeSaturation,3312106009
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,5502,ValidSlopeSaturation,3312107274
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:8,,,5356,ValidSlopeSaturation,3312108533
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:9,,,5584,ValidSlopeSaturation,3312109792
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:10,,,5424,ValidSlopeSaturation,3312111052
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:11,,,5685,ValidSlopeSaturation,3312112308
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:12,,,4412,ValidSlopeSaturation,3312113566
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:1,,,63,ValidSlopeSaturation,3312115788
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:2,,,78,ValidSlopeSaturation,3312117036
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:3,,,273,ValidSlopeSaturation,3312118292
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:4,,,938,ValidSlopeSaturation,3312119541
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:5,,,2613,ValidSlopeSaturation,3312120794
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:6,,,4543,ValidSlopeSaturation,3312122048
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:7,,,5755,ValidSlopeSaturation,3312123350
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:8,,,5698,ValidSlopeSaturation,3312124610
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:9,,,5554,ValidSlopeSaturation,3312125870
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:10,,,5649,ValidSlopeSaturation,3312127133
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:11,,,5278,ValidSlopeSaturation,3312128380
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:12,,,4267,ValidSlopeSaturation,3312129626
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:1,,,73,ValidSlopeSaturation,3312131837
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:2,,,80,ValidSlopeSaturation,3312133098
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:3,,,282,ValidSlopeSaturation,3312134356
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:4,,,1132,ValidSlopeSaturation,3312135624
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:5,,,2882,ValidSlopeSaturation,3312136882
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:6,,,4718,ValidSlopeSaturation,3312138138
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:7,,,5903,ValidSlopeSaturation,3312139391
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:8,,,5827,ValidSlopeSaturation,3312140638
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:9,,,5690,ValidSlopeSaturation,3312141898
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:10,,,5719,ValidSlopeSaturation,3312143155
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:11,,,5689,ValidSlopeSaturation,3312144406
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:12,,,4588,ValidSlopeSaturation,3312145665
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:1,,,51,ValidSlopeSaturation,3312147872
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:2,,,75,ValidSlopeSaturation,3312149134
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:3,,,183,ValidSlopeSaturation,3312150401
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:4,,,682,ValidSlopeSaturation,3312151670
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:5,,,1796,ValidSlopeSaturation,3312152920
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:6,,,3497,ValidSlopeSaturation,3312154230
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:7,,,4832,ValidSlopeSaturation,3312155497
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:8,,,4937,ValidSlopeSaturation,3312156747
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:9,,,4923,ValidSlopeSaturation,3312157998
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:10,,,5059,ValidSlopeSaturation,3312159248
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:11,,,4856,ValidSlopeSaturation,3312160506
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:12,,,3697,ValidSlopeSaturation,3312161761
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:1,,,80,ValidSlopeSaturation,3312163987
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:2,,,80,ValidSlopeSaturation,3312165242
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:3,,,167,ValidSlopeSaturation,3312166499
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:4,,,616,ValidSlopeSaturation,3312167747
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:5,,,1876,ValidSlopeSaturation,3312168999
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:6,,,3347,ValidSlopeSaturation,3312170237
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:7,,,4852,ValidSlopeSaturation,3312171487
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:8,,,5136,ValidSlopeSaturation,3312172750
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:9,,,5027,ValidSlopeSaturation,3312174004
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:10,,,4426,ValidSlopeSaturation,3312175261
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:11,,,4702,ValidSlopeSaturation,3312176513
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,F:12,,,3468,ValidSlopeSaturation,3312177778
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:1,,,70,ValidSlopeSaturation,3312179988
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:2,,,92,ValidSlopeSaturation,3312181250
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:3,,,170,ValidSlopeSaturation,3312182504
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:4,,,688,ValidSlopeSaturation,3312183751
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:5,,,1912,ValidSlopeSaturation,3312185058
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:6,,,3197,ValidSlopeSaturation,3312186326
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:7,,,4503,ValidSlopeSaturation,3312187579
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,G:8,,,4602,ValidSlopeSaturation,3312188824
