ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,56,ValidSlopeSaturation,3311779774
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,122,ValidSlopeSaturation,3311781030
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,165,ValidSlopeSaturation,3311782291
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,158,ValidSlopeSaturation,3311783552
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,131,ValidSlopeSaturation,3311784817
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,147,ValidSlopeSaturation,3311786078
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,2695,ValidSlopeSaturation,3311787343
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,3006,ValidSlopeSaturation,3311788655
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,3168,ValidSlopeSaturation,3311789915
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,3741,ValidSlopeSaturation,3311791179
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,3631,ValidSlopeSaturation,3311792432
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,2968,ValidSlopeSaturation,3311793682
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,77,ValidSlopeSaturation,3311795900
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,145,ValidSlopeSaturation,3311797160
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,158,ValidSlopeSaturation,3311798409
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,158,ValidSlopeSaturation,3311799667
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,168,ValidSlopeSaturation,3311800921
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,1443,ValidSlopeSaturation,3311802172
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,4507,ValidSlopeSaturation,3311803422
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:8,,,4668,ValidSlopeSaturation,3311804676
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:9,,,4888,ValidSlopeSaturation,3311805932
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:10,,,4692,ValidSlopeSaturation,3311807195
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:11,,,4682,ValidSlopeSaturation,3311808447
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:12,,,3911,ValidSlopeSaturation,3311809705
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:1,,,57,ValidSlopeSaturation,3311811908
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:2,,,77,ValidSlopeSaturation,3311813160
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:3,,,91,ValidSlopeSaturation,3311814424
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:4,,,147,ValidSlopeSaturation,3311815677
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:5,,,180,ValidSlopeSaturation,3311816933
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:6,,,171,ValidSlopeSaturation,3311818203
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:7,,,170,ValidSlopeSaturation,3311819527
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:8,,,257,ValidSlopeSaturation,3311820781
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:9,,,2143,ValidSlopeSaturation,3311822035
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:10,,,5099,ValidSlopeSaturation,3311823304
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:11,,,5016,ValidSlopeSaturation,3311824565
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:12,,,4166,ValidSlopeSaturation,3311825827
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:1,,,103,ValidSlopeSaturation,3311828038
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:2,,,132,ValidSlopeSaturation,3311829289
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:3,,,151,ValidSlopeSaturation,3311830555
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:4,,,167,ValidSlopeSaturation,3311831826
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:5,,,250,ValidSlopeSaturation,3311833085
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:6,,,3407,ValidSlopeSaturation,3311834333
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:7,,,5214,ValidSlopeSaturation,3311835587
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:8,,,5157,ValidSlopeSaturation,3311836845
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:9,,,4939,ValidSlopeSaturation,3311838096
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:10,,,5079,ValidSlopeSaturation,3311839347
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:11,,,4996,ValidSlopeSaturation,3311840610
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:12,,,4188,ValidSlopeSaturation,3311841863
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:1,,,80,ValidSlopeSaturation,3311844083
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,E:2,,,90,ValidSlopeSaturation,3311845347
