ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,111,ValidSlopeSaturation,771615441
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,152,ValidSlopeSaturation,771616706
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,607,ValidSlopeSaturation,771617964
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,2203,ValidSlopeSaturation,771619234
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,4771,ValidSlopeSaturation,771620498
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,7668,ValidSlopeSaturation,771621750
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,7579,ValidSlopeSaturation,771623004
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,7075,ValidSlopeSaturation,771624317
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,6963,ValidSlopeSaturation,771625582
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,7443,ValidSlopeSaturation,771626840
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,7833,ValidSlopeSaturation,771628104
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,4708,ValidSlopeSaturation,771629355
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,110,ValidSlopeSaturation,771631563
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,121,ValidSlopeSaturation,771632824
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,856,ValidSlopeSaturation,771634091
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,3157,ValidSlopeSaturation,771635346
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,7336,ValidSlopeSaturation,771636606
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,9415,ValidSlopeSaturation,771637860
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,9026,ValidSlopeSaturation,771639126
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:8,,,8566,ValidSlopeSaturation,771640386
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:9,,,8238,ValidSlopeSaturation,771641643
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:10,,,8870,ValidSlopeSaturation,771642904
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:11,,,8877,ValidSlopeSaturation,771644161
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:12,,,6652,ValidSlopeSaturation,771645411
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:1,,,45,ValidSlopeSaturation,771647619
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:2,,,151,ValidSlopeSaturation,771648874
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:3,,,1420,ValidSlopeSaturation,771650134
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:4,,,3746,ValidSlopeSaturation,771651385
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:5,,,7926,ValidSlopeSaturation,771652648
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:6,,,9044,ValidSlopeSaturation,771653906
