ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,462,ValidSlopeSaturation,1770198748
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,1510,ValidSlopeSaturation,1770200005
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,1448,ValidSlopeSaturation,1770201263
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,313,ValidSlopeSaturation,1770202515
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,908,ValidSlopeSaturation,1770203766
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,2518,ValidSlopeSaturation,1770205025
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,9950,ValidSlopeSaturation,1770206276
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,11630,ValidSlopeSaturation,1770207594
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,12050,ValidSlopeSaturation,1770208855
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,10870,ValidSlopeSaturation,1770210105
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,11540,ValidSlopeSaturation,1770211356
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,1842,ValidSlopeSaturation,1770212612
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,835,ValidSlopeSaturation,1770214816
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,1851,ValidSlopeSaturation,1770216067
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,842,ValidSlopeSaturation,1770217325
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,382,ValidSlopeSaturation,1770218569
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,918,ValidSlopeSaturation,1770219829
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,23610,ValidSlopeSaturation,1770221079
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,46700,ValidSlopeSaturation,1770222332
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:8,,,52190,ValidSlopeSaturation,1770223580
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:9,,,51330,ValidSlopeSaturation,1770224842
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:10,,,52440,ValidSlopeSaturation,1770226093
