ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,2013,ValidSlopeSaturation,3040147115
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,1513,ValidSlopeSaturation,3040148371
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,1560,ValidSlopeSaturation,3040149631
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,1702,ValidSlopeSaturation,3040150896
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,1577,ValidSlopeSaturation,3040152149
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,1711,ValidSlopeSaturation,3040153406
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,1667,ValidSlopeSaturation,3040154662
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,2053,ValidSlopeSaturation,3040155975
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,1958,ValidSlopeSaturation,3040157230
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,2090,ValidSlopeSaturation,3040158485
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,2448,ValidSlopeSaturation,3040159736
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,2398,ValidSlopeSaturation,3040160991
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,1461,ValidSlopeSaturation,3040163200
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,1455,ValidSlopeSaturation,3040164448
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,1930,ValidSlopeSaturation,3040165710
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,1670,ValidSlopeSaturation,3040166959
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,1660,ValidSlopeSaturation,3040168214
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,2171,ValidSlopeSaturation,3040169478
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,3057,ValidSlopeSaturation,3040170732
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:8,,,3784,ValidSlopeSaturation,3040171988
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:9,,,4348,ValidSlopeSaturation,3040173240
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:10,,,4721,ValidSlopeSaturation,3040174499
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:11,,,4806,ValidSlopeSaturation,3040175758
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:12,,,2785,ValidSlopeSaturation,3040177015
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:1,,,1857,ValidSlopeSaturation,3040179220
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:2,,,1427,ValidSlopeSaturation,3040180475
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:3,,,1292,ValidSlopeSaturation,3040181721
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:4,,,1691,ValidSlopeSaturation,3040182977
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:5,,,1756,ValidSlopeSaturation,3040184233
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:6,,,2097,ValidSlopeSaturation,3040185484
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:7,,,3396,ValidSlopeSaturation,3040186809
