ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,137,ValidSlopeSaturation,1768180294
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,283,ValidSlopeSaturation,1768181548
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,436,ValidSlopeSaturation,1768182804
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,751,ValidSlopeSaturation,1768184067
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,1672,ValidSlopeSaturation,1768185322
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,3558,ValidSlopeSaturation,1768186571
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,5257,ValidSlopeSaturation,1768187832
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,5612,ValidSlopeSaturation,1768189133
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,6114,ValidSlopeSaturation,1768190386
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,6172,ValidSlopeSaturation,1768191642
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,6967,ValidSlopeSaturation,1768192891
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,2003,ValidSlopeSaturation,1768194158
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,211,ValidSlopeSaturation,1768196370
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,548,ValidSlopeSaturation,1768197628
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,700,ValidSlopeSaturation,1768198881
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,1260,ValidSlopeSaturation,1768200138
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,7239,ValidSlopeSaturation,1768201396
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,22440,ValidSlopeSaturation,1768202646
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,36850,ValidSlopeSaturation,1768203895
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:8,,,43110,ValidSlopeSaturation,1768205156
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:9,,,46100,ValidSlopeSaturation,1768206406
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:10,,,49350,ValidSlopeSaturation,1768207659
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:11,,,42810,ValidSlopeSaturation,1768208917
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:12,,,5048,ValidSlopeSaturation,1768210170
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:1,,,241,ValidSlopeSaturation,1768212395
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:2,,,666,ValidSlopeSaturation,1768213641
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:3,,,762,ValidSlopeSaturation,1768214906
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:4,,,1422,ValidSlopeSaturation,1768216158
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:5,,,9261,ValidSlopeSaturation,1768217404
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:6,,,31480,ValidSlopeSaturation,1768218663
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:7,,,45880,ValidSlopeSaturation,1768219968
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:8,,,53700,ValidSlopeSaturation,1768221238
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:9,,,58080,ValidSlopeSaturation,1768222494
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:10,,,61060,ValidSlopeSaturation,1768223753
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:11,,,51180,ValidSlopeSaturation,1768225003
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:12,,,4829,ValidSlopeSaturation,1768226262
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:1,,,185,ValidSlopeSaturation,1768228473
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:2,,,506,ValidSlopeSaturation,1768229737
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:3,,,728,ValidSlopeSaturation,1768231014
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:4,,,1257,ValidSlopeSaturation,1768232265
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:5,,,7491,ValidSlopeSaturation,1768233512
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:6,,,27780,ValidSlopeSaturation,1768234769
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:7,,,45570,ValidSlopeSaturation,1768236017
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:8,,,49390,ValidSlopeSaturation,1768237261
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:9,,,56940,ValidSlopeSaturation,1768238519
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:10,,,58960,ValidSlopeSaturation,1768239786
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:11,,,52230,ValidSlopeSaturation,1768241036
