ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,152,ValidSlopeSaturation,3434175345
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,118,ValidSlopeSaturation,3434176594
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,155,ValidSlopeSaturation,3434177859
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,190,ValidSlopeSaturation,3434179114
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,195,ValidSlopeSaturation,3434180368
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,331,ValidSlopeSaturation,3434181636
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,1081,ValidSlopeSaturation,3434182900
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,727,ValidSlopeSaturation,3434184218
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,797,ValidSlopeSaturation,3434185472
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,837,ValidSlopeSaturation,3434186731
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,831,ValidSlopeSaturation,3434187986
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,761,ValidSlopeSaturation,3434189244
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,167,ValidSlopeSaturation,3434191463
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,142,ValidSlopeSaturation,3434192728
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,145,ValidSlopeSaturation,3434193984
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,178,ValidSlopeSaturation,3434195256
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,212,ValidSlopeSaturation,3434196517
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,411,ValidSlopeSaturation,3434197771
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,508,ValidSlopeSaturation,3434199028
