Cp,Line,Target_type,Target,IPTG,Replicate,Hours
12.99,pPC127,Control,Actin,0,1,4
,pPC127,Control,Actin,0,1,4
,pPC127,Control,Actin,0,1,4
13.03,pPC127,Control,Actin,2,1,4
,pPC127,Control,Actin,2,1,4
,pPC127,Control,Actin,2,1,4
13.47,pPC129,Control,Actin,0,1,4
13.53,pPC129,Control,Actin,0,1,4
13.51,pPC129,Control,Actin,0,1,4
13.00,pPC129,Control,Actin,2,1,4
13.01,pPC129,Control,Actin,2,1,4
12.93,pPC129,Control,Actin,2,1,4
12.51,pPC127,Control,Actin,0,2,4
,pPC127,Control,Actin,0,2,4
,pPC127,Control,Actin,0,2,4
12.22,pPC127,Control,Actin,2,2,4
,pPC127,Control,Actin,2,2,4
,pPC127,Control,Actin,2,2,4
13.09,pPC129,Control,Actin,0,2,4
12.98,pPC129,Control,Actin,0,2,4
13.17,pPC129,Control,Actin,0,2,4
12.68,pPC129,Control,Actin,2,2,4
12.93,pPC129,Control,Actin,2,2,4
12.17,pPC129,Control,Actin,2,2,4
12.62,pPC127,Control,Actin,0,3,4
,pPC127,Control,Actin,0,3,4
,pPC127,Control,Actin,0,3,4
12.86,pPC127,Control,Actin,2,3,4
,pPC127,Control,Actin,2,3,4
,pPC127,Control,Actin,2,3,4
13.52,pPC129,Control,Actin,0,3,4
13.01,pPC129,Control,Actin,0,3,4
13.09,pPC129,Control,Actin,0,3,4
12.43,pPC129,Control,Actin,2,3,4
12.55,pPC129,Control,Actin,2,3,4
,pPC129,Control,Actin,2,3,4
14.72,pPC089,Control,Actin,0,1,4
14.79,pPC089,Control,Actin,0,1,4
14.88,pPC089,Control,Actin,0,1,4
14.93,pPC089,Control,Actin,2,1,4
14.98,pPC089,Control,Actin,2,1,4
14.85,pPC089,Control,Actin,2,1,4
13.60,pPC089,Control,Actin,0,2,4
13.91,pPC089,Control,Actin,0,2,4
14.01,pPC089,Control,Actin,0,2,4
13.92,pPC089,Control,Actin,2,2,4
13.91,pPC089,Control,Actin,2,2,4
13.80,pPC089,Control,Actin,2,2,4
14.25,pPC089,Control,Actin,0,3,4
14.47,pPC089,Control,Actin,0,3,4
14.26,pPC089,Control,Actin,0,3,4
14.58,pPC089,Control,Actin,2,3,4
14.69,pPC089,Control,Actin,2,3,4
14.28,pPC089,Control,Actin,2,3,4
19.71,pPC089,Target,FLuc,0,1,4
19.32,pPC089,Target,FLuc,0,1,4
19.08,pPC089,Target,FLuc,0,1,4
16.15,pPC089,Target,FLuc,2,1,4
16.62,pPC089,Target,FLuc,2,1,4
16.66,pPC089,Target,FLuc,2,1,4
20.52,pPC089,Target,FLuc,0,2,4
20.76,pPC089,Target,FLuc,0,2,4
20.66,pPC089,Target,FLuc,0,2,4
16.50,pPC089,Target,FLuc,2,2,4
17.11,pPC089,Target,FLuc,2,2,4
16.84,pPC089,Target,FLuc,2,2,4
20.28,pPC089,Target,FLuc,0,3,4
20.15,pPC089,Target,FLuc,0,3,4
19.95,pPC089,Target,FLuc,0,3,4
16.63,pPC089,Target,FLuc,2,3,4
16.22,pPC089,Target,FLuc,2,3,4
16.18,pPC089,Target,FLuc,2,3,4
18.54,pPC127,Target,PI3K,0,1,4
18.50,pPC127,Target,PI3K,0,2,4
18.28,pPC127,Target,PI3K,0,3,4
16.13,pPC127,Target,PI3K,2,1,4
16.11,pPC127,Target,PI3K,2,2,4
16.25,pPC127,Target,PI3K,2,3,4
19.97,pPC129,Target,PI4K,0,1,4
20.12,pPC129,Target,PI4K,0,2,4
20.08,pPC129,Target,PI4K,0,3,4
17.95,pPC129,Target,PI4K,2,1,4
18.03,pPC129,Target,PI4K,2,2,4
17.94,pPC129,Target,PI4K,2,3,4
17.83,pPC127,Target,PI3K,0,1,4
17.97,pPC127,Target,PI3K,0,2,4
17.64,pPC127,Target,PI3K,0,3,4
15.67,pPC127,Target,PI3K,2,1,4
15.99,pPC127,Target,PI3K,2,2,4
16.01,pPC127,Target,PI3K,2,3,4
19.05,pPC129,Target,PI4K,0,1,4
19.10,pPC129,Target,PI4K,0,2,4
19.30,pPC129,Target,PI4K,0,3,4
17.69,pPC129,Target,PI4K,2,1,4
17.74,pPC129,Target,PI4K,2,2,4
17.86,pPC129,Target,PI4K,2,3,4
18.74,pPC127,Target,PI3K,0,1,4
18.82,pPC127,Target,PI3K,0,2,4
18.53,pPC127,Target,PI3K,0,3,4
16.70,pPC127,Target,PI3K,2,1,4
16.78,pPC127,Target,PI3K,2,2,4
16.50,pPC127,Target,PI3K,2,3,4
21.17,pPC129,Target,PI4K,0,1,4
21.22,pPC129,Target,PI4K,0,2,4
21.34,pPC129,Target,PI4K,0,3,4
19.24,pPC129,Target,PI4K,2,1,4
19.54,pPC129,Target,PI4K,2,2,4
19.18,pPC129,Target,PI4K,2,3,4
18.01,pPC127,Target,PI4K,0,1,4
18.26,pPC127,Target,PI4K,0,2,4
18.66,pPC127,Target,PI4K,0,3,4
18.70,pPC127,Target,PI4K,2,1,4
19.21,pPC127,Target,PI4K,2,2,4
18.50,pPC127,Target,PI4K,2,3,4
18.58,pPC129,Target,PI3K,0,1,4
18.28,pPC129,Target,PI3K,0,2,4
18.57,pPC129,Target,PI3K,0,3,4
18.49,pPC129,Target,PI3K,2,1,4
18.71,pPC129,Target,PI3K,2,2,4
18.70,pPC129,Target,PI3K,2,3,4
15.78,pPC127,Control,Actin,0,1,12
15.68,pPC127,Control,Actin,0,2,12
15.89,pPC127,Control,Actin,0,3,12
15.58,pPC127,Control,Actin,2,1,12
15.61,pPC127,Control,Actin,2,2,12
15.71,pPC127,Control,Actin,2,3,12
16.30,pPC129,Control,Actin,0,1,12
16.12,pPC129,Control,Actin,0,2,12
15.92,pPC129,Control,Actin,0,3,12
15.53,pPC129,Control,Actin,2,1,12
14.63,pPC129,Control,Actin,2,2,12
14.73,pPC129,Control,Actin,2,3,12
15.82,pPC127,Control,Actin,0,1,12
