Strain,RLuc_bkgr,FLuc_bkgr,RLuc_0,FLuc_0,Signal_0,RLuc_1,FLuc_1,Signal_1,Induction,Parasitemia_i_0,Parasitemia_f_0,Fold_growth_0,Parasitemia_i_1,Parasitemia_f_1,Fold_growth_1,Pct_troph_0,Pct_troph_1
pPC040,394,134,240115,10264,0.04274817744,274987,22760,0.08276830765,1.936183309,0.01,0.05909090909,5.909090909,0.01,0.1,10,0.9,0.9
pPC040,394,134,235769,10497,0.04452557376,238994,21504,0.08997924634,2.020844174,0.01,0.075,7.5,0.01,0.07428571429,7.428571429,1,0.85
pPC040,394,134,246870,12402,0.05023691595,267336,21287,0.07962825807,1.585054667,0.01,0.09,9,0.01,0.07692307692,7.692307692,0.85,1
pPC041,394,134,128874,15804,0.1226314074,3483,1443,0.4142980189,3.378400588,0.01,0.06153846154,6.153846154,0.01,0.1071428571,10.71428571,1,0.9
pPC041,394,134,119308,14382,0.1205451437,9756,3308,0.3390733907,2.812833271,0.01,0.1066666667,10.66666667,0.01,0.05714285714,5.714285714,0.9,1
pPC041,394,134,125901,12990,0.1031763052,17017,4196,0.2465769525,2.389860269,0.01,0.04,4,0.01,0.1269230769,12.69230769,1,0.9
pPC038,321,111,722838,4271,0.00590819993,692899,85978,0.1240844625,21.00207576,0.01,0.1466666667,14.66666667,0.01,0.085,8.5,0.9,0.95
pPC038,321,111,750182,3927,0.005234556856,762363,88972,0.1167055589,22.29521278,0.01,0.1,10,0.01,0.1451612903,14.51612903,1,1
pPC038,321,111,773425,4450,0.005753286914,791184,89789,0.1134868754,19.72557202,0.01,0.1636363636,16.36363636,0.01,0.115,11.5,0.95,0.9
pPC088,279,268,322854,790,0.001618228319,297519,87433,0.2932478805,181.2153928,0.01,0.1133333333,11.33333333,0.01,0.1363636364,13.63636364,0.9,0.9
pPC088,279,268,296325,789,0.001759861643,306818,89447,0.2909221991,165.3096994,0.01,0.1304347826,13.04347826,0.01,0.1133333333,11.33333333,0.9,0.95
pPC088,279,268,286627,746,0.001669297498,283964,95318,0.3350547262,200.7160057,0.01,0.1133333333,11.33333333,0.01,0.1290322581,12.90322581,1,1
pPC089,271,132,417676,340,0.0004983169823,446791,92727,0.2073703306,416.1414078,0.01,0.076,7.6,0.01,0.08,8,0.9,1
pPC089,271,132,413238,314,0.0004407131805,329491,93628,0.283992467,644.3929513,0.01,0.12,12,0.01,0.164,16.4,0.9,0.9
pPC089,271,132,303925,339,0.0006816969314,501183,86088,0.1715990034,251.7233033,0.01,0.155,15.5,0.01,0.06857142857,6.857142857,0.9,1
pPC126,730,154,337548,25636,0.07594771707,339276,156000,0.4598026386,6.054199604,0.01,0.13,13,0.01,0.165,16.5,0.85,0.9
pPC126,730,154,377944,22628,0.05987130369,347204,173676,0.5002131312,8.354806066,0.01,0.15,15,0.01,0.105,10.5,1,0.95
pPC126,730,154,342312,21356,0.06238752951,336484,165732,0.4925405071,7.894855126,0.01,0.215,21.5,0.01,0.14,14,1,1
pPC009,593,135,2233301,3470,0.001493701819,2250894,14815,0.006591990878,4.413190635,0.01,0.1568627451,15.68627451,0.01,0.072,7.2,0.95,0.91
pPC009,593,135,2186230,3581,0.001576657057,2247709,18325,0.008165754548,5.179157073,0.01,0.08666666667,8.666666667,0.01,0.1,10,1,1
pPC009,593,135,2181307,3112,0.001365149213,2064766,15965,0.007743781757,5.672480111,0.01,0.1307692308,13.07692308,0.01,0.15,15,1,1
pPC032,289,83,115318,218,0.001173617088,238933,1699,0.006771592833,5.769848533,0.01,0.05,5,0.01,0.07692307692,7.692307692,0.6,0.85
pPC032,289,83,114333,156,0.0006401038196,245370,1768,0.006875277969,10.74087946,0.01,0.04375,4.375,0.01,0.085,8.5,0.5,1
pPC032,289,83,110832,167,0.0007598852935,221574,1680,0.007216937434,9.497403747,0.01,0.03846153846,3.846153846,0.01,0.1408450704,14.08450704,0.45,0.85
pPC071,289,83,64320,202,0.001858474801,45894,1669,0.0347768885,18.7125962,0.01,0.16,16,0.01,0.1157894737,11.57894737,0.9,0.9
pPC071,289,83,58834,185,0.001742249552,46059,1694,0.03519772777,20.20246051,0.01,0.08,8,0.01,0.08666666667,8.666666667,1,0.85
pPC071,289,83,63189,165,0.001303656598,44097,1434,0.03083911614,23.6558586,0.01,0.09,9,0.01,0.06956521739,6.956521739,0.9,1
pPC072,289,83,110698,199,0.001050638988,111411,597,0.004625546696,4.402603321,0.01,0.09333333333,9.333333333,0.01,0.0875,8.75,0.95,0.95
pPC072,289,83,101576,211,0.001263735721,117275,638,0.004744157421,3.754074005,0.01,0.1222222222,12.22222222,0.01,0.1333333333,13.33333333,1,0.85
pPC072,289,83,91250,177,0.001033409923,101289,555,0.004673267327,4.522181588,0.01,0.076,7.6,0.01,0.1260869565,12.60869565,0.95,0.95
pPC082,212,97,21285,170,0.003464148436,9186,2018,0.2140628482,61.79378631,0.01,0.08888888889,8.888888889,0.01,0.09,9,0.9,0.9
pPC082,212,97,19266,130,0.002545397292,8944,1911,0.2077416399,81.61462284,0.01,0.1066666667,10.66666667,0.01,0.065,6.5,0.95,1
pPC082,212,97,16649,166,0.004197846322,9091,1994,0.2136501858,50.89518992,0.01,0.12,12,0.01,0.09444444444,9.444444444,1,1
pPC070,289,83,256660,1629,0.006030323242,248850,2147,0.008303796654,1.37700689,0.01,0.075,7.5,0.01,0.07692307692,7.692307692,0.9,0.9
pPC070,289,83,249122,1621,0.006180852218,249819,2502,0.009694225143,1.56842856,0.01,0.07,7,0.01,0.103125,10.3125,0.95,0.95
pPC070,289,83,169517,1377,0.007646488761,247277,2303,0.008988290929,1.175479519,0.01,0.09,9,0.01,0.08260869565,8.260869565,0.95,0.9
pPC000,290,72,1602374,583665,0.3642711618,1911880,812452,0.424976067,1.166647574,,,,,,,,
pPC000,290,72,1756272,712924,0.4059563253,1820956,869129,0.4773291751,1.17581411,,,,,,,,
pPC000,290,72,1487743,615793,0.4139431632,1583114,874048,0.5521624641,1.333908887,,,,,,,,
