Strain,RLuc_bkgr,FLuc_bkgr,RLuc_0,FLuc_0,Signal_0,RLuc_1,FLuc_1,Signal_1,Induction
pPC089,271,132,417676,340,0.0004983169823,446791,92727,0.2073703306,416.1414078
pPC089,271,132,413238,314,0.0004407131805,329491,93628,0.283992467,644.3929513
pPC089,271,132,303925,339,0.0006816969314,501183,86088,0.1715990034,251.7233033
pPC111,215,82,964040,651,0.0005903561331,924797,122950,0.1328903223,225.1019594
pPC111,215,82,1031999,742,0.0006396687679,955441,122139,0.1277781384,199.7567253
pPC111,215,82,971061,659,0.0005943270096,995240,126198,0.1267465642,213.2606496
pPC112,692,181,571614,373,0.0003362981283,297386,42510,0.1426688777,424.2333385
pPC112,692,181,604998,450,0.0004451387211,299544,64255,0.214400439,481.6485937
pPC112,692,181,560660,326,0.0002589433682,316122,58004,0.1833148401,707.934099
pPC113,263,141,456834,468,0.000716208432,286167,125643,0.4389655269,612.9019253
pPC113,263,141,468976,342,0.0004288338493,318373,130272,0.409075477,953.9253436
pPC113,263,141,472823,303,0.000342813611,368606,142640,0.3868649601,1128.499417
pPC114,471,155,76560,247,0.001209110384,254194,83421,0.3281767912,271.420042
pPC114,471,155,74556,207,0.001046095701,269396,100329,0.3724979083,356.0839682
pPC114,471,155,103666,312,0.00152139154,257265,77674,0.3018723179,198.4185595
