Strain,RLuc_bkgr,FLuc_bkgr,RLuc_0,FLuc_0,Signal_0,RLuc_1,FLuc_1,Signal_1,Induction
pPC071,289,83,64320,202,0.001858474801,45894,1669,0.0347768885,18.7125962
pPC071,289,83,58834,185,0.001742249552,46059,1694,0.03519772777,20.20246051
pPC071,289,83,63189,165,0.001303656598,44097,1434,0.03083911614,23.6558586
pPC094,162,85,26359,5308,0.1993739741,26550,10405,0.3910868577,1.96157427
pPC094,162,85,32467,6480,0.1979569726,33844,10883,0.3205866635,1.619476492
pPC094,162,85,24167,4632,0.1894188711,27313,8985,0.3277963979,1.730537174
pPC095,162,85,26999,123,0.001583634534,17116,1818,0.1022177657,64.54631008
pPC095,162,85,29845,108,0.001431795977,21097,1855,0.08454740865,59.04989955
pPC095,162,85,21970,68,0.001948826119,22987,1492,0.06164293538,31.63080317
pPC096,294,164,14503,675,0.03596312196,14491,9414,0.6515461013,18.11706175
pPC096,294,164,14496,657,0.03471342064,15556,9686,0.6239025029,17.97294797
pPC096,294,164,16130,535,0.02342763324,13713,8256,0.6030255608,25.73992663
pPC097,162,85,127844,4060,0.03113203114,104801,68060,0.6496143885,20.86643128
pPC097,162,85,111959,4215,0.0369419573,126360,61661,0.4879316629,13.20806202
pPC097,162,85,122723,4818,0.03861750475,127448,65037,0.5102839275,13.21379853
