Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,625,,36859,,0,36859,,0,#DIV/0!,1,#DIV/0!,36256.33333,36256.33333,#DIV/0!,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,625,,71403,,0,71964,,0,#DIV/0!,1.007926192,#DIV/0!,81711.66667,83828.33333,#DIV/0!,2.253721189,2.312101794,1.025904094,95.31210179,94.02590409
1,48,625,,111270,,0,87382,,0,#DIV/0!,0.7841023092,#DIV/0!,106687.6667,100113,#DIV/0!,1.305660146,1.194262083,0.914680659,94.19426208,93.91468066
1,72,625,,1010492,,0,856687,,0,#DIV/0!,0.8476977661,#DIV/0!,938927.3333,930078,#DIV/0!,8.80071111,9.290281981,1.055628558,102.290282,94.05562856
1,96,625,,1402906,,0,1002442,,0,#DIV/0!,1.141472769,#DIV/0!,1061787,1128385.333,#DIV/0!,1.130851092,1.213215809,1.072834273,,
1,120,625,,7936750,,0,5284002,,0,#DIV/0!,5.685562306,#DIV/0!,4981316.333,6083357.667,#DIV/0!,4.691445962,5.3912059,1.149156559,,
1,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
1,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
2,0,625,,37315,,0,37315,,0,#DIV/0!,1,#DIV/0!,,,,,,,,
2,24,625,,86634,,0,100332,,0,#DIV/0!,1.159262403,#DIV/0!,,,,,,,,
2,48,625,,104286,,0,115380,,0,#DIV/0!,1.107021927,#DIV/0!,,,,,,,,
2,72,625,,878278,,#REF!,985161,,0,#REF!,#REF!,#DIV/0!,,,,,,,,
2,96,625,,1108457,,0,1184011,,0,#DIV/0!,1.068199871,#DIV/0!,,,,,,,,
2,120,625,,6983205,,0,6078922,,0,#DIV/0!,0.8704944304,#DIV/0!,,,,,,,,
2,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
2,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,0,625,,36470,,0,36470,,0,#DIV/0!,1,#DIV/0!,,,,,,,,
3,24,625,,88973,,0,81064,,0,#DIV/0!,0.9104790148,#DIV/0!,,,,,,,,
3,48,625,,106382,,0,99452,,0,#DIV/0!,0.9344724226,#DIV/0!,,,,,,,,
3,72,625,,929887,,#REF!,950261,,0,#REF!,#REF!,#DIV/0!,,,,,,,,
3,96,625,,1200501,,0,1200578,,0,#DIV/0!,1.000064173,#DIV/0!,,,,,,,,
3,120,625,,7032732,,0,6889024,,0,#DIV/0!,0.9795640197,#DIV/0!,,,,,,,,
3,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
