Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,422,120,118584,195,0.0006347218226,116418,1426,0.01125900893,17.73849351,0.9816692338,17.41333333,114129.6667,115892.3333,22.09677997,NA,54.66666667,1437.333333,147.6666667,1530.333333
1,24,231,126,286965,303,0.0006172968675,286000,3120,0.01047699366,16.97237457,0.9966345114,16.91525424,283617.6667,285973,14.82152758,2.485047709,195,2882.333333,288,2975.333333
1,48,241,125,410453,327,0.0004924283054,749641,10398,0.01370829997,27.8381641,1.826860258,50.85643564,417534,757547.3333,24.70608319,1.472172044,197.6666667,8851.666667,290.6666667,8944.666667
1,72,347,124,445166,489,0.0008205584743,1864101,27692,0.01479165169,18.0263225,4.189915449,75.52876712,426836.6667,1829964.333,15.67866103,1.022280022,393.3333333,26305,486.3333333,26398
1,96,347,124,608373,668,0.000894698582,4383203,60818,0.01384804794,15.47789191,7.208336486,111.5698529,606325.3333,4364191.667,14.64575656,1.420509016,,,,
1,120,347,112,511418,221,0.0002132776072,7937123,59812,0.007521945939,35.26833425,15.52969353,547.706422,544193.6667,7956986.667,46.33303747,0.89752751,,,,
1,144,407,117,380313,643,0.001384553021,9381388,399171,0.04253862149,30.72372155,24.69290035,758.6577947,391251.3333,8819913,30.01918554,0.7189560579,,,,
1,168,481,98,186400,389,0.001565197747,2934213,299082,0.1019125128,65.11158923,15.77962446,1027.436426,178476.3333,3061566,63.87986525,0.4561679875,,3.739927393,15.79021045,
2,0,422,120,114925,154,0.0005240037379,117078,1772,0.01416129475,27.02517887,1.018803001,27.53333333,,,,,,,,
2,24,231,126,283185,342,0.0007633749655,290139,2870,0.009465071678,12.39898098,1.024576433,12.7037037,,,,,,,,
2,48,241,125,399439,326,0.0005035095366,767913,8095,0.01038203816,20.61934761,1.923035687,39.65174129,,,,,,,,
2,72,347,124,423785,547,0.0009989656101,1797096,28785,0.01595158812,15.96810537,4.24323986,67.75650118,6.558986317,6.439219021,,3.475649337,3.461284828,,,
2,96,347,124,624194,566,0.0007085070538,4351776,44306,0.01015344614,14.33076225,6.975154164,99.95927602,,,,,,,,
2,120,347,112,617824,201,0.0001441349232,8013024,54676,0.006809709165,47.24537962,12.97647848,613.0786517,,,,,,,,
2,144,407,117,420016,657,0.00128691234,8627302,353553,0.04096908563,31.83517973,20.55936598,654.5111111,,,,,,,,
2,168,481,98,181941,437,0.001868180315,3045825,321328,0.1054823363,56.46260987,16.78245343,947.5811209,,,,,,,,
3,0,422,120,110146,175,0.0005468265831,115447,1474,0.01177135405,21.52666754,1.048312129,22.56666667,,,,,,,,
3,24,231,126,281396,318,0.0006828730461,282473,3035,0.01030675803,15.0932272,1.003830491,15.15104167,,,,,,,,
3,48,241,125,443433,315,0.0004287080994,755811,8437,0.01100096616,25.66073786,1.70483673,43.74736842,,,,,,,,
3,72,347,124,412600,516,0.0009508724012,1829737,22810,0.01240085493,13.04155522,4.437541995,57.87244898,6.546822351,,,4.025865669,,,,
3,96,347,124,587450,616,0.0008380130914,4358637,51726,0.01183996476,14.12861551,7.423382269,104.8821138,,,,,,,,
3,120,347,112,504380,177,0.0001289598102,7921854,57815,0.007284346274,56.48539855,15.71624675,887.7384615,,,,,,,,
3,144,407,117,374646,598,0.001285274918,8452270,298834,0.035343332,27.49865535,22.58413207,621.033264,,,,,,,,
3,168,481,98,168531,349,0.001493603094,3206103,335566,0.1046498932,70.06539664,19.07540613,1336.525896,,,,,,,,
