Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_FLuc_Fold,Mean_Fold,Mean_growth,,,,
1,0,212,97,1276,103,0.04558270677,1199,113,0.04913880446,1.078014184,0.9276315789,1,1048.666667,1068.333333,1,0.9838738825,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,212,97,4367,102,0.01167268351,2584,691,0.2504215852,21.45364302,0.5708784597,12.24742268,3704,2541.333333,10.94158076,16.2503681,3.532104259,2.378783151,0.6734747835,95.37878315,93.67347478
1,48,212,97,6099,215,0.02004416511,1781,975,0.5595920969,27.91795487,0.2665194496,7.440677966,5719.333333,1612.666667,7.981970487,28.27361844,1.544096472,0.6345750262,0.4109685098,93.63457503,93.41096851
1,72,212,97,21285,170,0.003464148436,9186,2018,0.2140628482,61.79378631,0.4258529872,26.31506849,18854.66667,8861.666667,30.40329466,64.76786636,3.296654622,5.495039272,1.66685319,98.49503927,94.66685319
1,96,212,97,31276,514,0.01342389905,6167,1884,0.3000839631,22.35445618,0.1917010044,4.285371703,30319,6063.333333,4.886980826,24.29719412,1.608036914,0.6842204251,0.4255004466,,
1,120,212,97,112600,335,0.002117663808,33093,5368,0.1603053435,75.69914683,0.2925668221,22.14705882,110728.3333,34602,23.19586279,74.20074818,3.652110338,5.706761957,1.562592975,,
1,144,212,97,,,-0.2287735849,,,-0.2287735849,1,1,1,110728.3333,34602,1,74.20074818,1,1,1,,
1,168,212,97,,,-0.2287735849,,,-0.2287735849,1,1,1,#DIV/0!,#DIV/0!,1,1,#DIV/0!,#DIV/0!,#DIV/0!,,
2,0,212,97,1363,102,0.04213727194,1411,105,0.04045037531,0.9599666389,1.041702867,1,,,,,,,,,
2,24,212,97,4283,99,0.01191353476,3198,686,0.1972538513,16.55712224,0.7334807173,12.1443299,,,,,,,,,
2,48,212,97,5884,205,0.01904090268,1844,978,0.5398284314,28.35098947,0.2877291961,8.157407407,,,,,,,,,
2,72,212,97,19266,130,0.002545397292,8944,1911,0.2077416399,81.61462284,0.4582764774,37.40206186,,,,,,,,,
2,96,212,97,32955,535,0.01337690499,6725,2123,0.3110701674,23.25427052,0.1989127447,4.625570776,2.102876798,2.386609907,,7.694373103,7.161896038,,,,
2,120,212,97,106168,330,0.002199026011,34762,5909,0.1682199711,76.49749036,0.3260787497,24.94420601,,,,,,,,,
2,144,212,97,,,-0.2287735849,,,-0.2287735849,1,1,1,,,,,,,,,
2,168,212,97,,,-0.2287735849,,,-0.2287735849,1,1,1,,,,,,,,,
3,0,212,97,1143,106,0.05209452202,1231,99,0.04759568204,0.9136408243,1.094522019,1,,,,,,,,,
3,24,212,97,3098,108,0.01680526681,2478,506,0.180494263,10.74033903,0.7851697852,8.432989691,,,,,,,,,
3,48,212,97,5811,189,0.01643150563,1849,865,0.4691508858,28.55191097,0.2923736381,8.347826087,,,,,,,,,
3,72,212,97,16649,166,0.004197846322,9091,1994,0.2136501858,50.89518992,0.5401837318,27.49275362,,,,,,,,,
3,96,212,97,27362,433,0.01237569061,5934,2029,0.3376441804,27.28285564,0.2107550645,5.75,2.394673123,,,8.832149774,,,,,
3,120,212,97,114053,369,0.002389297353,36587,6216,0.1682199313,70.40560734,0.3195246001,22.49632353,,,,,,,,,
3,144,212,97,,,-0.2287735849,,,-0.2287735849,1,1,1,,,,,,,,,
3,168,212,97,,,-0.2287735849,,,-0.2287735849,1,1,1,,,,,,,,,
