Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,279,268,32233,504,0.007385616824,33840,498,0.006853192694,0.9279106752,1.050291043,0.9745762712,32516,33131,1.014140304,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,279,268,49277,303,0.002734805502,46463,21402,0.4576043651,167.3261096,0.9425690845,157.7164179,47849,47170.66667,164.6625891,1.471552466,1.423762237,0.9675239376,94.42376224,93.96752394
1,48,279,268,131950,813,0.004139104283,126896,25270,0.1974616363,47.70636901,0.9616164531,45.87522936,127998.6667,124929,46.45275567,2.675054163,2.648446775,0.9900535141,95.64844677,93.99005351
1,72,279,268,322854,790,0.001618228319,297519,87433,0.2932478805,181.2153928,0.9214601256,166.9827586,301656.3333,295821.3333,182.4136993,2.356714653,2.367915643,1.004752798,95.36791564,94.0047528
1,96,279,268,282453,626,0.001268720718,241873,23416,0.09581363776,75.51988106,0.8561880258,64.65921788,254816.3333,258384,50.97761105,0.8447239629,0.8734461342,1.034001843,,
1,120,279,268,1102521,2689,0.002196432362,934606,210100,0.2245809015,102.2480389,0.8476604956,86.6716233,978181.6667,918507.6667,94.04515491,3.838771455,3.554816346,0.9260296914,,
1,144,279,268,,,-0.4802867384,,,-0.4802867384,1,1,1,978181.6667,918507.6667,94.04515491,1,1,1,,
1,168,279,268,,,-0.4802867384,,,-0.4802867384,1,1,1,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,#DIV/0!,,
2,0,279,268,32654,489,0.006826254826,33741,502,0.006993006993,1.024428061,1.03357529,1.058823529,,,,,,,,
2,24,279,268,49635,256,0.002714968798,46855,21386,0.4534094813,167.0035698,0.9436745279,157.5970149,,,,,,,,
2,48,279,268,125195,857,0.004715168593,126075,29043,0.2287433623,48.51223403,1.007044734,48.85398981,,,,,,,,
2,72,279,268,296325,789,0.001759861643,306818,89447,0.2909221991,165.3096994,1.035443816,171.168906,,,,,,,,
2,96,279,268,271111,883,0.00227078041,256842,19591,0.07531483495,33.16693883,0.9473142022,31.4195122,,,,,,,,
2,120,279,268,986010,2717,0.002484450626,889164,233462,0.2623443978,105.5945306,0.9017521007,95.22008983,,,,,,,,
2,144,279,268,,,-0.4802867384,,,-0.4802867384,1,1,1,,,,,,,,
2,168,279,268,,,-0.4802867384,,,-0.4802867384,1,1,1,,,,,,,,
3,0,279,268,33498,493,0.006773232186,32649,507,0.007383379673,1.090082175,0.9744423372,1.062222222,,,,,,,,
3,24,279,268,45472,292,0.002965060961,49031,23347,0.4733959632,159.6580878,1.078751134,172.2313433,,,,,,,,
3,48,279,268,127688,882,0.004819125807,122653,25709,0.207895468,43.13966398,0.9604815986,41.43485342,,,,,,,,
3,72,279,268,286627,746,0.001669297498,283964,95318,0.3350547262,200.7160057,0.9907001271,198.8493724,,,,,,,,
3,96,279,268,211722,649,0.001801904059,277274,22352,0.07972707089,44.24601325,1.310022086,57.96325459,,,,,,,,
3,120,279,268,846851,2838,0.003035772504,932590,210538,0.2255363285,74.29289522,1.101277859,81.81712062,,,,,,,,
3,144,279,268,,,-0.4802867384,,,-0.4802867384,1,1,1,,,,,,,,
3,168,279,268,,,-0.4802867384,,,-0.4802867384,1,1,1,,,,,,,,
