Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,299,76,108778,16345,0.1499737276,107445,15664,0.1454837325,0.9700614552,0.9877119074,0.9581412502,109123.6667,108532.3333,0.9561878199,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,299,76,156892,853,0.00496190762,182781,37185,0.2033570434,40.98364157,1.165326675,47.75933076,158884,182110.3333,43.73529524,1.455999462,1.677936222,1.152429149,94.67793622,94.15242915
1,48,271,132,414623,1550,0.003422211067,431472,49107,0.1135781225,33.1885206,1.040663494,34.53808181,392492.6667,412817.3333,30.14689478,2.470309576,2.266852879,0.9176391901,95.26685288,93.91763919
1,72,271,132,1089040,662,0.0004867882903,1138614,177688,0.155977592,320.4218243,1.045532156,335.0113208,1072580,1168026,286.7717377,2.732738956,2.829401543,1.035372053,95.82940154,94.03537205
1,96,271,132,1359199,2749,0.001925782676,1575499,123045,0.07802870442,40.51791793,1.159169581,46.96713794,1399086.333,1499838.333,44.90534418,1.304412103,1.284079578,0.9844124991,,
1,120,285,274,2851076,3849,0.001254037914,3156610,686208,0.2173204597,173.2965624,1.107175166,191.8696503,2916246.333,3220528,179.4277733,2.08439341,2.147250093,1.030155863,,
1,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
1,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
2,0,299,76,108144,16703,0.1541749733,106837,16035,0.1497963168,0.9715994338,0.9878807548,0.959824382,,,,,,,,
2,24,299,76,163664,740,0.004064518104,187181,34990,0.1868237711,45.96455629,1.143953723,52.5813253,,,,,,,,
2,48,271,132,385368,1544,0.003666608673,399061,39879,0.09966899872,27.18288414,1.035557275,28.14943343,,,,,,,,
2,72,271,132,1048030,799,0.0006365967746,1200358,194966,0.1623498963,255.0278336,1.145384578,292.1049475,,,,,,,,
2,96,271,132,1460057,3153,0.002069481417,1473745,146464,0.09931088027,47.98829284,1.009376717,48.43826548,,,,,,,,
2,120,285,274,2875802,3662,0.001178222907,3205872,690273,0.2152488764,182.6894343,1.114786315,203.6596812,,,,,,,,
2,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
2,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,0,299,76,111346,16791,0.1505218511,112212,15690,0.1395190907,0.9269025706,1.0077985,0.93413102,,,,,,,,
3,24,299,76,156993,752,0.004314140937,177266,33865,0.1909339029,44.25768785,1.129379555,49.98372781,,,,,,,,
3,48,271,132,378300,1569,0.003801295668,408732,46820,0.1143022222,30.06927959,1.08050176,32.48990953,,,,,,,,
3,72,271,132,1081483,776,0.0005956278695,1165919,197912,0.1696738638,284.8655553,1.078093843,307.1118012,,,,,,,,
3,96,271,132,1378816,2770,0.001913611815,1451084,128424,0.0884276609,46.20982176,1.052423388,48.63229719,,,,,,,,
3,120,285,274,3022716,3632,0.001111026191,3299957,668580,0.2025371007,182.2973233,1.091727818,199.019059,,,,,,,,
3,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
