Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,571,,5677,,0,5677,,0,#DIV/0!,1,#DIV/0!,5454.333333,5454.333333,#DIV/0!,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,571,,29352,,0,24576,,0,#DIV/0!,0.8340571905,#DIV/0!,29505,25365.66667,#DIV/0!,5.409460368,4.650553077,0.8597073942,97.65055308,93.85970739
1,48,571,,29171,,0,34710,,0,#DIV/0!,1.193671329,#DIV/0!,31189.33333,36797,#DIV/0!,1.05708637,1.450661656,1.372320841,94.45066166,94.37232084
1,72,571,,44729,,0,121274,,0,#DIV/0!,2.733434485,#DIV/0!,44528.33333,139072,#DIV/0!,1.427678266,3.779438541,2.647262083,96.77943854,95.64726208
1,96,425,,10648,,0,150203,,0,#DIV/0!,14.6510809,#DIV/0!,10371.33333,169650.3333,#DIV/0!,0.2329153722,1.219874118,5.237413513,,
1,120,425,,3770,,0,421076,,0,#DIV/0!,125.755157,#DIV/0!,3453,532015.3333,#DIV/0!,0.3329369416,3.135952184,9.419057462,,
1,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
1,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
2,0,571,,6058,,0,6058,,0,#DIV/0!,1,#DIV/0!,,,,,,,,
2,24,571,,29989,,0,26249,,0,#DIV/0!,0.8728669522,#DIV/0!,,,,,,,,
2,48,571,,34646,,0,41874,,0,#DIV/0!,1.212120323,#DIV/0!,,,,,,,,
2,72,571,,46339,,0,150247,,0,#DIV/0!,3.270319874,#DIV/0!,,,,,,,,
2,96,425,,11334,,0,184980,,0,#DIV/0!,16.91768265,#DIV/0!,,,,,,,,
2,120,425,,3993,,0,625567,,0,#DIV/0!,175.2079596,#DIV/0!,,,,,,,,
2,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
2,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,0,571,,6341,,0,6341,,0,#DIV/0!,1,#DIV/0!,,,,,,,,
3,24,571,,30887,,0,26985,,0,#DIV/0!,0.8712890883,#DIV/0!,,,,,,,,
3,48,571,,31464,,0,35520,,0,#DIV/0!,1.131291878,#DIV/0!,,,,,,,,
3,72,571,,44230,,0,147408,,0,#DIV/0!,3.363269887,#DIV/0!,,,,,,,,
3,96,425,,10407,,0,175043,,0,#DIV/0!,17.49328792,#DIV/0!,,,,,,,,
3,120,425,,3871,,0,550678,,0,#DIV/0!,159.678758,#DIV/0!,,,,,,,,
3,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
