Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,408,,4499,,0,4499,,0,#DIV/0!,1,#DIV/0!,4143.333333,4143.333333,#DIV/0!,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,408,,13071,,0,13705,,0,#DIV/0!,1.050067125,#DIV/0!,12623.66667,13492,#DIV/0!,3.046741754,3.256315366,1.068786142,96.25631537,94.06878614
1,48,408,,9704,,0,16274,,0,#DIV/0!,1.706755594,#DIV/0!,9065.666667,16599,#DIV/0!,0.7181484513,1.230284613,1.713134117,94.23028461,94.71313412
1,72,408,,8450,,0,65463,,0,#DIV/0!,8.08940562,#DIV/0!,8063,67473,#DIV/0!,0.8893995661,4.064883427,4.570368124,97.06488343,97.57036812
1,96,792,,13404,,0,134486,,0,#DIV/0!,10.60053917,#DIV/0!,12257,142650,#DIV/0!,1.520153789,2.114179005,1.390766527,,
1,120,792,,6051,,0,384994,,0,#DIV/0!,73.05609431,#DIV/0!,5022.666667,402652,#DIV/0!,0.4097794458,2.822656852,6.888234346,,
1,144,792,,2669,,0,468198,,0,#DIV/0!,249.0175812,#DIV/0!,1943,493911,#DIV/0!,0.3868462968,1.226644845,3.170884289,,
1,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
1,192,,,,,,,,,,,,,,,,,,,
1,216,,,,,,,,,,,,,,,,,,,
1,240,,,,,,,,,,,,,,,,,,,
1,264,,,,,,,,,,,,,,,,,,,
2,0,408,,4536,,0,4536,,0,#DIV/0!,1,#DIV/0!,,,,,,,,
2,24,408,,12734,,0,13905,,0,#DIV/0!,1.095002434,#DIV/0!,,,,,,,,
2,48,408,,9530,,0,17211,,0,#DIV/0!,1.842030257,#DIV/0!,,,,,,,,
2,72,408,,8387,,0,65003,,0,#DIV/0!,8.095626018,#DIV/0!,,,,,,,,
2,96,792,,12926,,0,152584,,0,#DIV/0!,12.50964233,#DIV/0!,,,,,,,,
2,120,792,,5710,,0,432506,,0,#DIV/0!,87.78243188,#DIV/0!,,,,,,,,
2,144,792,,2577,,0,513345,,0,#DIV/0!,287.1445378,#DIV/0!,,,,,,,,
2,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
2,192,,,,,,,,,,,,,,,,,,,
2,216,,,,,,,,,,,,,,,,,,,
2,240,,,,,,,,,,,,,,,,,,,
2,264,,,,,,,,,,,,,,,,,,,
3,0,408,,4619,,0,4619,,0,#DIV/0!,1,#DIV/0!,,,,,,,,
3,24,408,,13290,,0,14090,,0,#DIV/0!,1.062102158,#DIV/0!,,,,,,,,
3,48,408,,9187,,0,17536,,0,#DIV/0!,1.951019478,#DIV/0!,,,,,,,,
3,72,408,,8576,,0,73177,,0,#DIV/0!,8.90903526,#DIV/0!,,,,,,,,
3,96,792,,12817,,0,143256,,0,#DIV/0!,11.84731809,#DIV/0!,,,,,,,,
3,120,792,,5683,,0,392832,,0,#DIV/0!,80.15538745,#DIV/0!,,,,,,,,
3,144,792,,2959,,0,502566,,0,#DIV/0!,231.5523766,#DIV/0!,,,,,,,,
3,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,192,,,,,,,,,,,,,,,,,,,
3,216,,,,,,,,,,,,,,,,,,,
3,240,,,,,,,,,,,,,,,,,,,
3,264,,,,,,,,,,,,,,,,,,,
