Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,597,125,10000,1000,0.09305540785,10000,1000,0.09305540785,1,1,1,9403,9403,1,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,597,125,12528,1119,0.08331237952,13033,7552,0.5972177549,7.168415527,1.042326712,7.471830986,12198,12818.66667,7.65639124,1.29724556,1.363252863,1.050882658,94.36325286,94.05088266
1,48,502,156,15775,1199,0.06829044719,16391,3400,0.2041664044,2.989677368,1.040332613,3.110258869,14914,15779.66667,3.260531926,1.222659452,1.230991263,1.006814498,94.23099126,94.0068145
1,72,730,154,84387,6409,0.07476959489,84819,39000,0.4619629202,6.178486334,1.005163943,6.210391687,87420.33333,84517,7.614291006,5.861628895,5.356070048,0.9137511337,98.35607005,93.91375113
1,96,730,154,103449,6550,0.06226696132,105997,19900,0.1875801533,3.012514973,1.024805537,3.087242026,104021.3333,104580.6667,3.325316217,1.189898612,1.237392083,1.03991388,,
1,120,730,154,550801,32208,0.05827247755,570114,214997,0.37732532,6.475189246,1.035110013,6.702533225,532308.3333,559479.6667,7.649182863,5.117299656,5.349742782,1.045423005,,
1,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
1,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
2,0,597,125,10000,1000,0.09305540785,10000,1000,0.09305540785,1,1,1,,,,,,,,
2,24,597,125,12691,1091,0.07987431784,13188,7691,0.6009054086,7.523136658,1.041094758,7.832298137,,,,,,,,
2,48,502,156,15319,1020,0.05831139907,16012,3325,0.2043197937,3.503942573,1.046770601,3.667824074,,,,,,,,
2,72,730,154,94486,5657,0.05869491019,86801,43419,0.5026664033,8.56405439,0.9180319126,7.862075232,,,,,,,,
2,96,730,154,112155,5947,0.05199012789,108922,20303,0.1862337326,3.58209799,0.9709849675,3.478163301,,,,,,,,
2,120,730,154,526053,34064,0.0645507621,544489,280597,0.5157487048,7.989815891,1.035094599,8.270215276,,,,,,,,
2,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
2,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,0,597,125,10000,1000,0.09305540785,10000,1000,0.09305540785,1,1,1,,,,,,,,
3,24,597,125,13166,1016,0.07088869441,14026,8005,0.5867897833,8.277621534,1.068422309,8.843995511,,,,,,,,
3,48,502,156,15154,1052,0.06115206115,16442,3361,0.2010664994,3.287975836,1.087906088,3.577008929,,,,,,,,
3,72,730,154,85578,5339,0.06110927777,84121,41433,0.4950054562,8.100332295,0.9828281162,7.96123433,,,,,,,,
3,96,730,154,98650,5887,0.05854779412,101013,20007,0.1979697456,3.381335687,1.024131944,3.462933892,,,,,,,,
3,120,730,154,522261,34990,0.0667956459,566026,320449,0.5665969687,8.482543451,1.083916392,9.194367895,,,,,,,,
3,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
