Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,281,72,19020,286,0.01142003309,19020,286,0.01142003309,1,1,1,18654.33333,18654.33333,1,NA,235.6666667,235.6666667,328.6666667,328.6666667
1,24,241,109,18805,69,0.0029357897,18830,385,0.01484749045,5.057409408,1.001346693,5.064220183,17553.66667,19968,4.979492209,0.94099673,-27.66666667,309.3333333,65.33333333,402.3333333
1,48,289,83,38947,126,0.001112318278,47463,365,0.005977869165,5.3742434,1.220290755,6.558139535,37231,49548.66667,4.035363372,2.120981371,50,261,143,354
1,72,289,83,115318,218,0.001173617088,238933,1699,0.006771592833,5.769848533,2.074642047,11.97037037,113205.3333,235003.3333,8.669377247,3.040620272,97.33333333,1632.666667,190.3333333,1725.666667
1,96,289,83,86824,220,0.001583174438,361909,1603,0.004203307339,2.654986866,4.178887155,11.09489051,79953,362952.3333,4.864958124,0.7062653114,,,,
1,120,289,83,118823,221,0.001164222923,974200,7493,0.007608498107,6.535258802,8.216300808,53.69565217,105839,977914,6.259902604,1.323765212,,,,
1,144,289,83,40100,158,0.001883901434,767557,6102,0.007844716579,4.164080156,19.27276381,80.25333333,37877.33333,821003.3333,4.140037759,0.3578769011,,,,
1,168,289,83,37027,159,0.002068702706,2798782,30851,0.01099448882,5.31467803,76.17434264,404.8421053,32396.66667,3066097.667,7.481050301,0.8553048437,,6.068581027,12.59778782,
2,0,281,72,18493,300,0.0125192181,18493,300,0.0125192181,1,1,1,,,,,,,,
2,24,241,109,17257,72,0.003202867889,21183,423,0.01499379238,4.681364608,1.230724024,5.76146789,,,,,,,,
2,48,289,83,36978,137,0.001471830794,52135,351,0.005169154805,3.512057789,1.413121099,4.962962963,,,,,,,,
2,72,289,83,114333,156,0.0006401038196,245370,1768,0.006875277969,10.74087946,2.149003893,23.08219178,2.819174823,2.495425868,,1.999567404,2.047686646,,,
2,96,289,83,81301,161,0.0009628203229,367319,1773,0.00460452824,4.782333869,4.530563373,21.66666667,,,,,,,,
2,120,289,83,107576,212,0.001202382395,975538,7765,0.007876962704,6.551129439,9.090094792,59.5503876,,,,,,,,
2,144,289,83,40668,143,0.001485920899,843814,6157,0.007200735011,4.84597465,20.89019045,101.2333333,,,,,,,,
2,168,289,83,34256,130,0.00138369594,3224978,45454,0.01406988395,10.16833507,94.93593782,965.3404255,,,,,,,,
3,0,281,72,19293,337,0.01393856512,19293,337,0.01393856512,1,1,1,,,,,,,,
3,24,241,109,17322,103,0.003190679703,20614,447,0.01659058558,5.199702611,1.192728763,6.201834862,,,,,,,,
3,48,289,83,36635,136,0.001458207231,49915,316,0.004695119494,3.219788927,1.365377208,4.396226415,,,,,,,,
3,72,289,83,110832,167,0.0007598852935,221574,1680,0.007216937434,9.497403747,2.001800204,19.01190476,2.587207796,,,1.89887524,,,,
3,96,289,83,72601,135,0.0007191060958,360496,1937,0.005147040452,7.157553637,4.981289413,35.65384615,,,,,,,,
3,120,289,83,91985,212,0.001406822544,984871,7969,0.008009490322,5.69331957,10.73745856,61.13178295,,,,,,,,
3,144,289,83,33731,153,0.002093176245,852506,6166,0.007137853387,3.410058471,25.48343401,86.9,,,,,,,,
3,168,289,83,26774,125,0.001585803285,3175400,35128,0.0110374094,6.960137809,119.8833679,834.4047619,,,,,,,,
