Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_FLuc_Fold,Mean_Fold,Mean_growth,,,,
1,0,281,72,4699,235,0.03689452241,4699,235,0.03689452241,1,1,1,4058,4058,1,1,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,241,109,9167,112,0.006105758458,5249,340,0.04612619808,7.554540259,0.5610575846,4.23853211,8437,5327.666667,4.709480122,7.467675512,2.079103006,1.312879908,0.6314645806,94.31287991,93.63146458
1,48,289,83,9800,239,0.01640206077,4540,667,0.1373794401,8.375742661,0.446956156,3.743589744,9396.666667,3970.333333,3.699650388,8.805933473,1.113745012,0.7452293061,0.6691202188,93.74522931,93.66912022
1,72,289,83,64320,202,0.001858474801,45894,1669,0.0347768885,18.7125962,0.7122331371,13.32773109,61825.33333,45061,15.19915283,20.85697177,6.579496275,11.3494249,1.724968664,104.3494249,94.72496866
1,96,289,83,41740,489,0.009794697354,20531,2204,0.1047821362,10.69784317,0.4883356252,5.224137931,39831.33333,19844,6.140089264,12.21387446,0.6442558606,0.4403808171,0.683549571,,
1,120,289,83,135750,389,0.002258952761,136121,4713,0.03408622416,15.08939219,1.002738796,15.13071895,134135,136914.3333,19.59203991,18.92924904,3.367574941,6.899533024,2.048813507,,
1,144,289,83,69472,981,0.01298006736,59062,10354,0.1747571164,13.46349842,0.8495295087,11.4376392,70286.66667,57638,12.4681346,15.24099449,0.5239994533,0.4209785681,0.8033950522,,
1,168,289,83,319489,1449,0.004279448622,438558,31086,0.07073965989,16.53008744,1.373023183,22.69619327,296491,442621.3333,29.82359599,19.83887281,4.218310727,7.679331922,1.82047564,,
2,0,281,72,4205,296,0.05708460754,4205,296,0.05708460754,1,1,1,,,,,,,,,
2,24,241,109,8363,107,0.006710169909,5481,408,0.0570610687,8.503669725,0.6451612903,5.486238532,,,,,,,,,
2,48,289,83,9698,234,0.01604846424,4387,625,0.1322596388,8.241264516,0.43554044,3.589403974,,,,,,,,,
2,72,289,83,58834,185,0.001742249552,46059,1694,0.03519772777,20.20246051,0.7817917841,15.79411765,1.043281807,0.9661630134,,2.306302021,2.085550117,,,,
2,96,289,83,43113,541,0.01069493742,20760,2675,0.1266181427,11.8390728,0.4780263404,5.659388646,,,,,,,,,
2,120,289,83,145881,441,0.002458926315,138757,6446,0.04595285553,18.68817917,0.95106874,17.77374302,,,,,,,,,
2,144,289,83,78375,1034,0.0121788797,63527,11900,0.1868654923,15.34340571,0.8098506775,12.42586751,,,,,,,,,
2,168,289,83,310777,1112,0.003314137744,427508,34209,0.07987940611,24.10262104,1.375959779,33.16423712,,,,,,,,,
3,0,281,72,4113,222,0.0391440501,4113,222,0.0391440501,1,1,1,,,,,,,,,
3,24,241,109,8504,110,0.006595667433,5976,349,0.04184829991,6.344816554,0.6940578482,4.403669725,,,,,,,,,
3,48,289,83,9559,224,0.01521035599,3851,614,0.1490735542,9.800793243,0.3842502697,3.765957447,,,,,,,,,
3,72,289,83,63189,165,0.001303656598,44097,1434,0.03083911614,23.6558586,0.6964705882,16.47560976,0.9362995381,,,2.324094335,,,,,
3,96,289,83,35508,396,0.00888724836,19108,2442,0.1253520378,14.10470741,0.5343422584,7.536741214,,,,,,,,,
3,120,289,83,121641,270,0.001540971719,136732,4921,0.03545803009,23.01017576,1.124357242,25.87165775,,,,,,,,,
3,144,289,83,63880,841,0.01191992578,51192,10347,0.2016384103,16.91607935,0.80047491,13.5408971,,,,,,,,,
3,168,289,83,260074,894,0.003121812268,462665,27341,0.05895202173,18.88390995,1.779841022,33.61035758,,,,,,,,,
