Replicate,Hours,RLuc_bkgr,IPTG,DHA pulse,Value
1,0,259,Never,FALSE,16645
1,24,259,Never,FALSE,42554
1,48,259,Never,FALSE,30530
1,72,259,Never,FALSE,24597
1,96,510,Never,FALSE,19399
1,120,631,Never,FALSE,8927
1,144,464,Never,FALSE,2978
1,168,464,Never,FALSE,1534
1,192,,Never,FALSE,
1,216,,Never,FALSE,
1,240,,Never,FALSE,
1,264,,Never,FALSE,
2,0,259,Never,FALSE,15573
2,24,259,Never,FALSE,45020
2,48,259,Never,FALSE,31194
2,72,259,Never,FALSE,25624
2,96,510,Never,FALSE,21833
2,120,631,Never,FALSE,9712
2,144,464,Never,FALSE,3676
2,168,464,Never,FALSE,1295
2,192,,Never,FALSE,
2,216,,Never,FALSE,
2,240,,Never,FALSE,
2,264,,Never,FALSE,
3,0,259,Never,FALSE,16550
3,24,259,Never,FALSE,41648
3,48,259,Never,FALSE,31801
3,72,259,Never,FALSE,26907
3,96,510,Never,FALSE,20950
3,120,631,Never,FALSE,9691
3,144,464,Never,FALSE,3994
3,168,464,Never,FALSE,1716
3,192,,Never,FALSE,
3,216,,Never,FALSE,
3,240,,Never,FALSE,
3,264,,Never,FALSE,
1,0,259,Re-added at 30 h,FALSE,16786
1,24,259,Re-added at 30 h,FALSE,42433
1,48,259,Re-added at 30 h,FALSE,33027
1,72,259,Re-added at 30 h,FALSE,41270
1,96,510,Re-added at 30 h,FALSE,82247
1,120,631,Re-added at 30 h,FALSE,167099
1,144,464,Re-added at 30 h,FALSE,384644
1,168,464,Re-added at 30 h,FALSE,848736
1,192,,Re-added at 30 h,FALSE,
1,216,,Re-added at 30 h,FALSE,
1,240,,Re-added at 30 h,FALSE,
1,264,,Re-added at 30 h,FALSE,
2,0,259,Re-added at 30 h,FALSE,16734
2,24,259,Re-added at 30 h,FALSE,41307
2,48,259,Re-added at 30 h,FALSE,33112
2,72,259,Re-added at 30 h,FALSE,40300
2,96,510,Re-added at 30 h,FALSE,71297
2,120,631,Re-added at 30 h,FALSE,148775
2,144,464,Re-added at 30 h,FALSE,338291
2,168,464,Re-added at 30 h,FALSE,897331
2,192,,Re-added at 30 h,FALSE,
2,216,,Re-added at 30 h,FALSE,
2,240,,Re-added at 30 h,FALSE,
2,264,,Re-added at 30 h,FALSE,
3,0,259,Re-added at 30 h,FALSE,16022
3,24,259,Re-added at 30 h,FALSE,44039
3,48,259,Re-added at 30 h,FALSE,32629
3,72,259,Re-added at 30 h,FALSE,47874
3,96,510,Re-added at 30 h,FALSE,83202
3,120,631,Re-added at 30 h,FALSE,159314
3,144,464,Re-added at 30 h,FALSE,316761
3,168,464,Re-added at 30 h,FALSE,984498
3,192,,Re-added at 30 h,FALSE,
3,216,,Re-added at 30 h,FALSE,
3,240,,Re-added at 30 h,FALSE,
3,264,,Re-added at 30 h,FALSE,
1,0,259,Always,FALSE,15813
1,24,259,Always,FALSE,58431
1,48,259,Always,FALSE,72200
